Date ,NSW nersi_max_capacity,NSW total_available_capacity_MW,NSW total_demand_MW,QLD nersi_max_capacity,QLD total_available_capacity_MW,QLD total_demand_MW,SA nersi_max_capacity,SA total_available_capacity_MW,SA total_demand_MW,TAS nersi_max_capacity,TAS total_available_capacity_MW,TAS total_demand_MW,VIC nersi_max_capacity,VIC total_available_capacity_MW,VIC total_demand_MW,
2019-07-01 00:00:00,7701,16251.721124396405,7702.91455078125,5571,11631.738107228393,5572.04736328125,1646,4481.0613634008405,1647.7449951171875,1243,3182.909832875833,1244.8748779296875,5305,12026.986114442348,5306.45263671875,
2019-07-01 01:00:00,7258,15197.257928216884,7259.00390625,5900,11435.527335673301,5901.40966796875,1534,4295.353537863868,1535.457763671875,1064,3272.436553560962,1065.4478759765625,4497,10996.319384098053,4498.76806640625,
2019-07-01 02:00:00,6874,15172.975795433602,6875.32275390625,5542,11429.27013345061,5543.30078125,1329,4275.627077373292,1330.7288818359375,1062,3272.449707604612,1063.3350830078125,4335,10952.889098480344,4336.69677734375,
2019-07-01 03:00:00,6386,15215.259125109196,6387.8095703125,5346,11390.724783935084,5347.92333984375,1220,4312.623065851978,1221.1026611328125,1056,3271.902183615639,1057.5396728515625,4067,10738.454928964376,4068.784912109375,
2019-07-01 04:00:00,6178,15189.786402729085,6179.4443359375,5345,11486.692420766329,5346.1083984375,1170,4289.740075096637,1171.1973876953125,1058,3272.4054993653604,1059.8970947265625,3990,10863.975989528,3991.6181640625,
2019-07-01 05:00:00,6336,15196.626199287108,6337.83740234375,5495,11488.673870442017,5496.8486328125,1159,4275.527165595058,1160.962646484375,1086,3272.1957955660887,1087.873779296875,4033,10992.876209959388,4034.010009765625,
2019-07-01 06:00:00,6950,15219.505134511173,6951.32373046875,5933,11498.40708118649,5934.94189453125,1193,4266.654144028351,1194.3406982421875,1135,3272.1255075092754,1136.2509765625,4360,11125.792599484324,4361.232421875,
2019-07-01 07:00:00,8236,15305.737557064176,8237.6630859375,6668,12036.84192249877,6669.40283203125,1370,4250.595699244661,1371.2384033203125,1299,3269.3794701178253,1300.7630615234375,5104,10992.721245527267,5105.16064453125,
2019-07-01 08:00:00,9080,15586.287610673091,9081.90234375,7100,12417.431108399524,7101.6396484375,1619,4276.0024533746255,1620.3902587890625,1462,3269.6450619579405,1463.034423828125,5653,11272.444247230887,5654.23388671875,
2019-07-01 09:00:00,9211,15907.20926309693,9212.4560546875,6851,12678.647541676482,6852.28857421875,1700,4353.824773579519,1701.063720703125,1397,3267.957406717776,1398.0489501953125,5908,11793.226261407137,5909.25439453125,
2019-07-01 10:00:00,8976,16058.201875145913,8977.27734375,6613,12706.613545712557,6614.1171875,1629,4455.586835345735,1630.3822021484375,1343,3268.5815247150726,1344.7843017578125,5826,11880.950348079205,5827.7275390625,
2019-07-01 11:00:00,8665,16165.966211889616,8666.869140625,6826,12735.011264456982,6827.91796875,1505,4424.45662239588,1506.3309326171875,1275,3270.2673157523773,1276.310546875,5782,11858.228938490152,5783.17822265625,
2019-07-01 12:00:00,8285,16122.46341535765,8286.853515625,6910,12724.355507318523,6911.3603515625,1398,4444.090795525166,1399.205322265625,1270,3267.424986576465,1271.5430908203125,5668,11842.39993339777,5669.28466796875,
2019-07-01 13:00:00,8152,15907.650336792747,8153.02197265625,6908,12698.576234212156,6909.00537109375,1330,4434.123273938578,1331.3831787109375,1266,3271.3291219497323,1267.69140625,5617,12034.967783093452,5618.14306640625,
2019-07-01 14:00:00,8221,15620.121353892664,8222.6376953125,6930,12627.666214946827,6931.72265625,1354,4397.700608296802,1355.7156982421875,1277,3268.615146945226,1278.8525390625,5678,12088.632291078568,5679.3212890625,
2019-07-01 15:00:00,8382,15486.305241823873,8383.732421875,7119,12392.05242326431,7120.47314453125,1376,4643.236557594051,1377.8548583984375,1300,3267.9771805838263,1301.10400390625,5726,11481.811071485281,5727.85986328125,
2019-07-01 16:00:00,8659,15380.666758941541,8660.4658203125,7357,12051.782967248659,7358.0810546875,1433,4517.360557306773,1434.0924072265625,1316,3263.9005493785744,1317.046875,5811,11379.312607720494,5812.75927734375,
2019-07-01 17:00:00,9013,15351.972974905178,9014.6923828125,7843,11594.148270330294,7844.90380859375,1385,4391.1133270239225,1386.0926513671875,1393,3268.399926627287,1394.2869873046875,6008,11181.660968899727,6009.82861328125,
2019-07-01 18:00:00,10351,15307.528169849942,10352.7333984375,7221,11551.767037898775,8236.2197265625,1595,4293.870340995706,1596.7982177734375,1488,3271.6784792724393,1489.8504638671875,6452,11299.231722027063,6453.28662109375,
2019-07-01 19:00:00,10267,15415.967818286947,10268.09765625,7431,11592.596807166166,8172.1826171875,1780,4204.762107218166,1781.61083984375,1467,3270.8601417730956,1468.3111572265625,6271,11281.213966295123,6272.35498046875,
2019-07-01 20:00:00,9771,15431.126894211451,9772.2998046875,7753,11553.254044592357,7971.75732421875,1748,4240.537386210452,1749.77099609375,1405,3271.7648793682565,1406.7750244140625,5958,11154.292462289333,5959.11767578125,
2019-07-01 21:00:00,9570,15382.166747535945,9571.6298828125,7730,11515.597646847738,7731.63818359375,1831,4213.415533838212,1832.8304443359375,1367,3272.369689550218,1368.3739013671875,5660,11100.60878867656,5661.63037109375,
2019-07-01 22:00:00,9067,15346.089883760294,9068.2978515625,7261,11492.42037489156,7262.42822265625,1736,4306.544112991358,1737.482666015625,1308,3272.3968631602743,1309.8594970703125,5263,10934.800982832909,5264.77490234375,
2019-07-01 23:00:00,8736,15252.515523809374,8737.3876953125,6779,11453.600090033582,6780.42626953125,1579,4244.0840332195585,1580.047607421875,1203,3272.398955632872,1204.21728515625,4995,11028.477523311973,4996.29345703125,
2019-07-02 00:00:00,8412,15220.141277277276,8413.689453125,6414,11432.167430973142,6415.09716796875,1731,4261.668864785643,1732.6285400390625,1133,3272.4536737913086,1134.6279296875,5225,10939.81729067117,5226.5712890625,
2019-07-02 01:00:00,8035,15133.36922056249,8036.169921875,5440,11477.283806515996,5441.38671875,1580,4281.408778290879,1581.3009033203125,1068,3272.2595398904136,1069.4947509765625,4698,11497.84614328295,4699.97265625,
2019-07-02 02:00:00,7595,15108.380912331144,7596.41796875,5073,11417.327647302132,5074.03076171875,1363,4324.655784815765,1364.6851806640625,1078,3269.323268206092,1079.75927734375,4511,11526.462494276464,4512.23583984375,
2019-07-02 03:00:00,6904,15092.353086449028,6905.34423828125,4907,11397.741980862374,4908.68603515625,1254,4363.448650848336,1255.2445068359375,1084,3268.576930786596,1085.611328125,4269,11383.861892282963,4270.12060546875,
2019-07-02 04:00:00,6533,15078.376455786693,6534.13916015625,4884,11401.278924031725,4885.13916015625,1192,4365.279918561771,1193.443115234375,1080,3266.703093041409,1081.1051025390625,4150,11393.33636149019,4151.8095703125,
2019-07-02 05:00:00,6582,15086.543759900045,6583.6728515625,5001,11319.127818889763,5002.56787109375,1185,4331.676860510986,1186.6217041015625,1099,3206.0983811810315,1100.210693359375,4175,11381.708635129035,4176.87451171875,
2019-07-02 06:00:00,7208,15115.328644159461,7209.615234375,5406,11293.49446226433,5407.00390625,1229,4277.2317823766825,1230.8116455078125,1155,3203.4273827103157,1156.101806640625,4469,11052.722324904054,4470.83837890625,
2019-07-02 07:00:00,8440,15334.470778734012,8441.603515625,6026,11818.015760859287,6027.89453125,1421,4157.961279380883,1422.6199951171875,1312,3171.127414525151,1313.3094482421875,5213,10520.430561996996,5214.78515625,
2019-07-02 08:00:00,9197,15545.013447719992,9198.0810546875,6219,12224.284855092043,6220.81103515625,1680,4261.420401779385,1681.7076416015625,1433,3117.8206764121014,1434.3538818359375,5648,11004.36893983325,5649.947265625,
2019-07-02 09:00:00,9135,15874.713714687985,9136.5048828125,6060,12458.948383716632,6061.83349609375,1755,4365.4112863803575,1756.2362060546875,1401,3078.2603419189372,1402.08544921875,5678,11401.293856711593,5679.1015625,
2019-07-02 10:00:00,8817,16073.248756732537,8818.521484375,5757,12628.981193013875,5758.33056640625,1637,4378.398794586852,1638.1839599609375,1358,3097.354439712464,1359.7203369140625,5420,11466.900448981673,5421.30078125,
2019-07-02 11:00:00,8393,16143.27163889482,8394.2041015625,5539,12584.884088889161,5540.8583984375,1480,4373.04433765071,1481.6776123046875,1296,3033.8430266100704,1297.8662109375,5197,11640.902352266014,5198.560546875,
2019-07-02 12:00:00,8007,16116.10097480012,8008.06982421875,5368,12554.403292703255,5369.0439453125,1361,4305.454543549783,1362.5938720703125,1277,2956.419871263215,1278.08544921875,5044,11648.276422150433,5045.14453125,
2019-07-02 13:00:00,7864,16043.803464168737,7865.57421875,5414,12590.422679052903,5415.0791015625,1294,4325.612204347021,1295.2354736328125,1314,2921.019772955735,1315.99951171875,4994,11783.265631124377,4995.7333984375,
2019-07-02 14:00:00,7941,16024.040349730345,7942.990234375,5585,12567.468323585043,5586.18310546875,1326,4427.392655468362,1327.4886474609375,1306,2912.2103004383684,1307.918212890625,5130,11642.758750230074,5131.8759765625,
2019-07-02 15:00:00,8158,15537.87975434033,8159.0224609375,5814,12600.503392397639,5815.35986328125,1360,4440.578765115251,1361.04150390625,1340,3268.4815045248906,1341.2509765625,5261,12156.942090779543,5262.67529296875,
2019-07-02 16:00:00,8451,15313.27088865457,8452.638671875,6069,12216.76388117133,6070.98876953125,1433,4330.502172781637,1434.5013427734375,1363,3269.0476420087457,1364.42236328125,5435,11839.273010581732,5436.765625,
2019-07-02 17:00:00,9100,15271.528669795076,9101.43359375,6421,11813.374693298025,6422.0556640625,1587,4222.1532611790535,1588.849365234375,1439,3271.591365833691,1440.150390625,5689,11473.143914490938,5690.15771484375,
2019-07-02 18:00:00,10398,15253.313055106184,10399.8837890625,6832,11795.492704206421,6833.78271484375,1643,4262.082366655131,1644.6259765625,1522,3272.2678051571756,1523.29541015625,6255,11560.031500786543,6256.49169921875,
2019-07-02 19:00:00,10409,15208.898573128561,10410.3935546875,6805,11822.931929799222,6806.89208984375,1855,4306.591757944336,1856.2362060546875,1498,3272.3616049969987,1499.742431640625,6177,11704.561818778515,6178.67626953125,
